stage,pair_id,road_id,layer_role,trunk_mode
Step2,S2:763111__767878,71773898,trunk,counterclockwise_loop
Step2,S2:763111__767878,71773900,trunk,counterclockwise_loop
Step2,S2:763111__767878,71773909,trunk,counterclockwise_loop
Step2,S2:763111__767878,71773917,trunk,counterclockwise_loop
Step2,S2:763111__767878,71773920,trunk,counterclockwise_loop
Step2,S2:763111__767878,88099686,trunk,counterclockwise_loop
Step2,S2:763111__767878,88099693,trunk,counterclockwise_loop
Step2,S2:763111__767887,46336644,trunk,counterclockwise_loop
Step2,S2:763111__767887,601156271,trunk,counterclockwise_loop
Step2,S2:763111__767887,601156283,trunk,counterclockwise_loop
Step2,S2:763111__767887,601156284,trunk,counterclockwise_loop
Step2,S2:763111__767887,611603452,trunk,counterclockwise_loop
Step2,S2:763111__767887,992535,trunk,counterclockwise_loop
Step2,S2:763111__768595,629819784,trunk,counterclockwise_loop
Step2,S2:763111__768595,65836016,trunk,counterclockwise_loop
Step2,S2:763111__768595,71773888,trunk,counterclockwise_loop
Step2,S2:763111__768595,71773890,trunk,counterclockwise_loop
Step2,S2:767738__768595,509235032,trunk,through_collapsed_corridor
Step2,S2:767738__768595,607235228,trunk,through_collapsed_corridor
Step2,S2:767738__768622,1001390,trunk,counterclockwise_loop
Step2,S2:767738__768622,44595074,trunk,counterclockwise_loop
Step2,S2:767738__768622,46336837,trunk,counterclockwise_loop
Step2,S2:767738__768622,49508761,trunk,counterclockwise_loop
Step2,S2:767738__768622,49508764,trunk,counterclockwise_loop
Step2,S2:767738__768622,500588612,trunk,counterclockwise_loop
Step2,S2:767738__768622,525387193,trunk,counterclockwise_loop
Step2,S2:767738__768622,58086352,trunk,counterclockwise_loop
Step2,S2:767738__768622,607590427,trunk,counterclockwise_loop
Step2,S2:767738__768622,88099778,trunk,counterclockwise_loop
Step2,S2:767738__784886,1001392,trunk,counterclockwise_loop
Step2,S2:767738__784886,41670465,trunk,counterclockwise_loop
Step2,S2:767738__784886,522079232,trunk,counterclockwise_loop
Step2,S2:767738__784886,605156103,trunk,counterclockwise_loop
Step2,S2:767738__784886,608155801,trunk,counterclockwise_loop
Step2,S2:767738__784886,612081868,trunk,counterclockwise_loop
Step2,S2:767738__784886,71773981,trunk,counterclockwise_loop
Step2,S2:767878__12823253,18715129,trunk,counterclockwise_loop
Step2,S2:767878__12823253,18715130,trunk,counterclockwise_loop
Step2,S2:767878__12823253,601422902,trunk,counterclockwise_loop
Step2,S2:767878__12823253,619529462,trunk,counterclockwise_loop
Step2,S2:767878__12823253,628611361,trunk,counterclockwise_loop
Step2,S2:767878__12823253,88099697,trunk,counterclockwise_loop
Step2,S2:767878__12823253,88099704,trunk,counterclockwise_loop
Step2,S2:767878__767887,31760479,trunk,counterclockwise_loop
Step2,S2:767878__767887,601863948,trunk,counterclockwise_loop
Step2,S2:767878__767887,615390402,trunk,counterclockwise_loop
Step2,S2:767878__767887,88099691,trunk,counterclockwise_loop
Step2,S2:767878__767887,88099698,trunk,counterclockwise_loop
Step2,S2:767878__767887,9808100,trunk,counterclockwise_loop
Step2,S2:767887__768622,46336875,trunk,counterclockwise_loop
Step2,S2:767887__768622,49508755,trunk,counterclockwise_loop
Step2,S2:767887__768622,49508759,trunk,counterclockwise_loop
Step2,S2:767887__768622,49508760,trunk,counterclockwise_loop
Step2,S2:767887__768622,505863884,trunk,counterclockwise_loop
Step2,S2:767887__768622,612248590,trunk,counterclockwise_loop
Step2,S2:767887__768622,71773929,trunk,counterclockwise_loop
Step2,S2:767887__768622,997181,trunk,counterclockwise_loop
Step2,S2:768622__768624,49508767,trunk,counterclockwise_loop
Step2,S2:768622__768624,49508770,trunk,counterclockwise_loop
Step2,S2:768622__768624,49508793,trunk,counterclockwise_loop
Step2,S2:768622__768624,49508794,trunk,counterclockwise_loop
Step2,S2:768622__768624,49508796,trunk,counterclockwise_loop
Step2,S2:768622__768624,71774083,trunk,counterclockwise_loop
Step2,S2:768622__768624,71822574,trunk,counterclockwise_loop
Step2,S2:768622__768639,41670392,trunk,counterclockwise_loop
Step2,S2:768622__768639,49508757,trunk,counterclockwise_loop
Step2,S2:768622__768639,501077404,trunk,counterclockwise_loop
Step2,S2:768622__768639,513761377,trunk,counterclockwise_loop
Step2,S2:768622__768639,519341190,trunk,counterclockwise_loop
Step2,S2:768622__768639,9267969,trunk,counterclockwise_loop
Step2,S2:768624__784886,1000092,trunk,counterclockwise_loop
Step2,S2:768624__784886,1000097,trunk,counterclockwise_loop
Step2,S2:768624__784886,1001395,trunk,counterclockwise_loop
Step2,S2:768624__784886,1001398,trunk,counterclockwise_loop
Step2,S2:768624__784886,49508791,trunk,counterclockwise_loop
Step2,S2:768624__784886,49508802,trunk,counterclockwise_loop
Step2,S2:768624__784886,628600580,trunk,counterclockwise_loop
Step2,S2:768624__784886,71774135,trunk,counterclockwise_loop
Step2,S2:768624__784886,88098857,trunk,counterclockwise_loop
Step2,S2:768624__791719,100357055,trunk,counterclockwise_loop
Step2,S2:768624__791719,15724397,trunk,counterclockwise_loop
Step2,S2:768624__791719,49508787,trunk,counterclockwise_loop
Step2,S2:768624__791719,49508789,trunk,counterclockwise_loop
Step2,S2:768624__791719,82334550,trunk,counterclockwise_loop
Step2,S2:768639__12823253,15724362,trunk,counterclockwise_loop
Step2,S2:768639__12823253,15724363,trunk,counterclockwise_loop
Step2,S2:768639__12823253,15724369,trunk,counterclockwise_loop
Step2,S2:768639__12823253,41670481,trunk,counterclockwise_loop
Step2,S2:768639__12823253,44555673,trunk,counterclockwise_loop
Step2,S2:768639__12823253,44555675,trunk,counterclockwise_loop
Step2,S2:768639__12823253,504421526,trunk,counterclockwise_loop
Step2,S2:768639__12823253,504421649,trunk,counterclockwise_loop
Step2,S2:768639__12823253,513761128,trunk,counterclockwise_loop
Step2,S2:768639__12823253,71773445,trunk,counterclockwise_loop
Step2,S2:768639__12823253,71773450,trunk,counterclockwise_loop
Step2,S2:768639__12823253,9267967,trunk,counterclockwise_loop
Step2,S2:768639__768671,529824474,trunk,counterclockwise_loop
Step2,S2:768639__768671,620422677,trunk,counterclockwise_loop
Step2,S2:768639__768671,71821973,trunk,counterclockwise_loop
Step2,S2:768639__768671,9267966,trunk,counterclockwise_loop
Step2,S2:768639__791719,501156721,trunk,counterclockwise_loop
Step2,S2:768639__791719,510156938,trunk,counterclockwise_loop
Step2,S2:768639__791719,9267963,trunk,counterclockwise_loop
Step2,S2:768662__768669,501677554,trunk,counterclockwise_loop
Step2,S2:768662__768669,606422522,trunk,counterclockwise_loop
Step2,S2:768669__768671,501156645,trunk,counterclockwise_loop
Step2,S2:768669__768671,611603446,trunk,counterclockwise_loop
Step2,S2:784901__502866811,609424358,trunk,counterclockwise_loop
Step2,S2:785217__55225313,528789203,trunk,counterclockwise_loop
Step4,STEP4:25214957__58220088,617197474,trunk,counterclockwise_loop
Step4,STEP4:40237137__55225270,46336763,trunk,counterclockwise_loop
Step4,STEP4:40237137__55225270,616663182,trunk,counterclockwise_loop
Step4,STEP4:502866811__603265172,502424231,trunk,counterclockwise_loop
Step4,STEP4:502866811__603265172,601424593,trunk,counterclockwise_loop
Step4,STEP4:55225313__55225316,71774046,trunk,counterclockwise_loop
Step4,STEP4:55225313__55225316,71774047,trunk,counterclockwise_loop
Step4,STEP4:763111__767881,511928617,trunk,through_collapsed_corridor
Step4,STEP4:763111__767881,71773907,trunk,through_collapsed_corridor
Step4,STEP4:763111__767881,81638790,trunk,through_collapsed_corridor
Step4,STEP4:763111__767881,81638794,trunk,through_collapsed_corridor
Step4,STEP4:763927__505982281,525390697,trunk,counterclockwise_loop
Step4,STEP4:763927__505982281,611935875,trunk,counterclockwise_loop
Step4,STEP4:763927__505982281,998673,trunk,counterclockwise_loop
Step4,STEP4:767010__26755593,611943778,trunk,counterclockwise_loop
Step4,STEP4:768632__505982281,528768552,trunk,counterclockwise_loop
Step4,STEP4:768632__505982281,88099069,trunk,counterclockwise_loop
Step4,STEP4:768634__505982281,515392269,trunk,counterclockwise_loop
Step4,STEP4:768634__505982281,615390727,trunk,counterclockwise_loop
Step4,STEP4:768641__768662,505156640,trunk,counterclockwise_loop
Step4,STEP4:768643__768669,603156564,trunk,counterclockwise_loop
Step4,STEP4:768643__768669,624984627,trunk,counterclockwise_loop
Step4,STEP4:784901__40237259,46337031,trunk,counterclockwise_loop
Step4,STEP4:784901__40237259,46337034,trunk,counterclockwise_loop
Step4,STEP4:784901__788837,71774107,trunk,counterclockwise_loop
Step4,STEP4:785217__40237227,46336960,trunk,counterclockwise_loop
Step4,STEP4:785217__40237227,46336966,trunk,counterclockwise_loop
Step4,STEP4:785217__608982775,46336976,trunk,counterclockwise_loop
Step4,STEP4:785217__608982775,525387215,trunk,counterclockwise_loop
Step4,STEP4:785217__608982775,997153,trunk,counterclockwise_loop
Step4,STEP4:785324__502866811,46337117,trunk,counterclockwise_loop
Step4,STEP4:785324__502866811,608424400,trunk,counterclockwise_loop
Step4,STEP4:787129__55225228,510365722,trunk,counterclockwise_loop
Step4,STEP4:791102__55225234,614129369,trunk,counterclockwise_loop
Step4,STEP4:791719__12823263,18715205,trunk,counterclockwise_loop
Step4,STEP4:791719__12823263,607374973,trunk,counterclockwise_loop
Step5B,STEP5B:14423413__502667880,521933472,trunk,counterclockwise_loop
Step5B,STEP5B:40237164__74463926,502148533,trunk,counterclockwise_loop
Step5B,STEP5B:40237194__40237213,46336878,trunk,counterclockwise_loop
Step5B,STEP5B:40237194__40237213,46336884,trunk,counterclockwise_loop
Step5B,STEP5B:502667880__510667671,621933258,trunk,counterclockwise_loop
Step5B,STEP5B:55225239__55225241,527278312,trunk,counterclockwise_loop
Step5B,STEP5B:791713__512702572,9808064,trunk,counterclockwise_loop
Step5B,STEP5B:792579__59642115,81638789,trunk,counterclockwise_loop
